ID,tenure,predicted_survival_12m,predicted_churn_risk_12m,clv_36m,at_risk_12m,region,marital,ed,retire,gender,voice,internet,forward,custcat
211,13,0.8692524580993382,0.13074754190066185,766.3216281455567,0,Zone 3,Unmarried,High school degree,No,Female,No,No,No,Basic service
212,3,0.7638020791866903,0.2361979208133097,653.1295018087716,1,Zone 1,Unmarried,College degree,No,Male,No,No,No,Basic service
213,39,0.8262772126211057,0.17372278737889435,720.4528638422862,1,Zone 3,Married,High school degree,No,Male,No,No,No,Basic service
214,28,0.8070188183368567,0.19298118166314326,700.4018714088811,1,Zone 2,Unmarried,Some college,No,Male,No,Yes,Yes,E-service
215,46,0.9398167031537888,0.060183296846211154,851.0785356154696,0,Zone 2,Unmarried,College degree,No,Male,No,No,No,E-service
216,62,0.9371460793169964,0.06285392068300355,848.0341035386544,0,Zone 2,Unmarried,Some college,No,Female,No,No,No,Basic service
217,23,0.9279421554121735,0.07205784458782649,835.3618365770714,0,Zone 2,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
218,23,0.7806328591349864,0.21936714086501363,673.2994193207932,1,Zone 3,Married,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
219,72,0.9801006676746246,0.01989933232537544,902.6437596169379,0,Zone 2,Married,Some college,No,Male,Yes,Yes,Yes,Total service
220,56,0.9572164138191813,0.04278358618081868,872.956496939742,0,Zone 3,Unmarried,High school degree,No,Male,No,No,No,Basic service
221,8,0.8457386067966726,0.15426139320332743,739.1162650191905,1,Zone 1,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
222,3,0.8868954065483664,0.1131045934516336,778.4922703928323,0,Zone 3,Unmarried,Post-undergraduate degree,No,Female,Yes,No,Yes,Total service
223,37,0.8444113706812102,0.1555886293187898,740.3325089279949,1,Zone 3,Unmarried,Some college,No,Male,No,No,No,Basic service
224,37,0.9750898473568802,0.0249101526431198,895.3186425900623,0,Zone 3,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
225,6,0.7660791806921,0.23392081930789999,657.576101059611,1,Zone 2,Unmarried,High school degree,No,Female,No,No,No,Basic service
226,48,0.9241931190454529,0.07580688095454713,832.1084574226188,0,Zone 1,Unmarried,Some college,No,Male,Yes,No,Yes,Total service
227,43,0.8678784963178459,0.13212150368215414,766.3911718148621,0,Zone 2,Married,College degree,No,Female,Yes,Yes,Yes,Total service
228,21,0.6788074347061033,0.3211925652938967,573.9347945783531,1,Zone 2,Unmarried,College degree,No,Female,No,Yes,Yes,Basic service
229,6,0.7193189353113667,0.2806810646886333,613.1455385236053,1,Zone 3,Unmarried,Some college,No,Male,Yes,Yes,Yes,Plus service
230,69,0.9630844554385047,0.03691554456149526,880.5832207924359,0,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
231,22,0.8988442951931918,0.10115570480680824,801.1072223011397,0,Zone 1,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
232,28,0.9278444389409478,0.07215556105905219,835.7305820884919,0,Zone 1,Married,High school degree,No,Female,No,No,Yes,Plus service
233,71,0.9826663336896133,0.017333666310386686,906.01887842357,0,Zone 1,Married,Did not complete high school,No,Male,No,No,No,E-service
234,7,0.7826876194464889,0.2173123805535111,674.2746417888798,1,Zone 2,Unmarried,College degree,No,Male,No,No,No,Basic service
235,63,0.8435139836454911,0.15648601635450887,738.4219819405141,1,Zone 1,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
236,53,0.9840010030781183,0.01599899692188167,907.5479626229062,0,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,Yes,E-service
237,50,0.9690839780823253,0.03091602191767473,887.9568439474652,0,Zone 2,Married,College degree,No,Male,Yes,No,Yes,Total service
238,39,0.9334938908172637,0.06650610918273625,843.144018397198,0,Zone 2,Married,College degree,No,Male,No,No,Yes,Total service
239,16,0.6753991006303375,0.3246008993696625,571.771266758177,1,Zone 3,Unmarried,High school degree,No,Female,No,No,No,Basic service
240,43,0.9651813116090504,0.03481868839094959,882.7453779950187,0,Zone 3,Married,Some college,No,Male,Yes,No,Yes,Total service
241,44,0.8526363098418331,0.14736369015816686,749.2502157190223,0,Zone 3,Unmarried,Did not complete high school,No,Female,No,No,No,Basic service
242,72,0.996371807696102,0.0036281923038979924,924.5541459023539,0,Zone 2,Married,High school degree,No,Female,Yes,No,Yes,Total service
243,61,0.9968996149541282,0.003100385045871845,925.2413600147308,0,Zone 3,Unmarried,Did not complete high school,Yes,Male,No,No,Yes,Plus service
244,43,0.8350169781576172,0.16498302184238278,729.8047959996863,1,Zone 3,Married,Did not complete high school,No,Male,No,Yes,Yes,E-service
245,24,0.7571951939858462,0.24280480601415377,649.4767220106746,1,Zone 3,Unmarried,Some college,No,Female,No,Yes,No,Basic service
246,64,0.9035140276279844,0.09648597237201562,807.4384890568856,0,Zone 3,Unmarried,High school degree,No,Female,Yes,No,Yes,Plus service
247,64,0.9164113773421265,0.08358862265787348,822.8335292501473,0,Zone 2,Unmarried,High school degree,No,Male,No,No,No,E-service
248,24,0.7793312281043141,0.2206687718956859,671.900133166233,1,Zone 1,Unmarried,High school degree,No,Female,No,No,No,Basic service
249,33,0.9603080444369573,0.039691955563042725,876.082354687528,0,Zone 3,Married,Some college,No,Female,No,No,Yes,Basic service
250,33,0.9251861644933079,0.07481383550669207,832.8593843492362,0,Zone 2,Married,College degree,No,Female,Yes,No,No,E-service
251,2,0.6601882896431708,0.3398117103568292,557.9914330778363,1,Zone 1,Unmarried,College degree,No,Male,No,Yes,No,Basic service
252,42,0.9575558322075646,0.04244416779243543,873.0272143516725,0,Zone 2,Married,Did not complete high school,No,Female,No,Yes,Yes,Total service
253,52,0.9082868927951794,0.09171310720482062,813.1305107490234,0,Zone 1,Married,Post-undergraduate degree,No,Male,Yes,Yes,No,E-service
254,45,0.9896340933439711,0.010365906656028878,914.9865748690773,0,Zone 1,Unmarried,High school degree,No,Female,No,Yes,No,E-service
255,3,0.6080838390212117,0.39191616097878834,513.597814999795,1,Zone 3,Unmarried,College degree,No,Male,Yes,Yes,Yes,Total service
256,37,0.9789226915255623,0.021077308474437673,900.3604399882705,0,Zone 2,Married,Did not complete high school,No,Female,No,No,Yes,Plus service
257,28,0.9545965684603768,0.04540343153962323,868.5209680229809,0,Zone 2,Unmarried,College degree,No,Female,Yes,Yes,Yes,E-service
258,40,0.9493683126892462,0.05063168731075385,862.6970773081142,0,Zone 3,Married,Did not complete high school,No,Male,No,No,No,Basic service
259,37,0.8242333365115793,0.17576666348842074,718.3336929898506,1,Zone 2,Unmarried,High school degree,No,Male,No,Yes,No,Total service
260,7,0.6580168079182985,0.34198319208170147,557.2891703817486,1,Zone 3,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
261,71,0.9672311049263417,0.03276889507365832,885.9127516103939,0,Zone 1,Unmarried,Did not complete high school,No,Female,Yes,No,Yes,Total service
262,19,0.7737208371954051,0.22627916280459492,666.508306458861,1,Zone 2,Unmarried,High school degree,No,Female,No,Yes,No,Basic service
263,61,0.9410563000882646,0.058943699911735425,852.8466753850382,0,Zone 2,Unmarried,Some college,No,Female,No,No,Yes,Plus service
264,70,0.9810181207104778,0.01898187928952222,903.831578704211,0,Zone 3,Married,High school degree,No,Female,No,No,No,E-service
265,60,0.945064648904183,0.05493535109581704,857.8019765512458,0,Zone 2,Married,Did not complete high school,No,Female,No,No,No,Basic service
266,48,0.9030068310256559,0.09699316897434407,806.8832685411354,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,Basic service
267,8,0.9829493715068525,0.017050628493147535,901.9641796144776,0,Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
268,58,0.974650220408839,0.025349779591161026,895.3279559676579,0,Zone 2,Married,High school degree,No,Male,No,No,No,Plus service
269,16,0.8927272711555252,0.10727272884447481,793.2166986271493,0,Zone 1,Married,Some college,No,Male,No,No,Yes,Plus service
270,33,0.813089975477999,0.186910024522001,706.5789143212346,1,Zone 2,Unmarried,High school degree,No,Female,No,No,No,Basic service
271,39,0.8675496926772968,0.13245030732270324,766.071251916702,0,Zone 2,Unmarried,Did not complete high school,No,Female,No,No,No,Plus service
272,62,0.9191691351813057,0.08083086481869428,826.1521484058488,0,Zone 1,Unmarried,College degree,No,Male,No,Yes,No,E-service
273,50,0.8400676405796423,0.15993235942035766,735.0845514536248,1,Zone 1,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
274,48,0.9583635653184318,0.04163643468156819,874.2320322885521,0,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,No,Basic service
275,31,0.932598830834136,0.06740116916586403,841.6725831465394,0,Zone 3,Unmarried,High school degree,No,Female,Yes,No,Yes,Plus service
276,65,0.9476272278275918,0.05237277217240821,861.0444851101526,0,Zone 2,Married,High school degree,No,Male,No,No,Yes,E-service
277,36,0.9929030013606406,0.00709699863935942,919.3039859981087,0,Zone 1,Unmarried,Did not complete high school,No,Female,No,No,No,E-service
278,61,0.9064734242235398,0.09352657577646017,810.9669407577044,0,Zone 1,Unmarried,Some college,No,Female,Yes,No,Yes,Plus service
279,48,0.9547761638247816,0.04522383617521841,869.7120366854568,0,Zone 2,Unmarried,College degree,No,Male,No,No,Yes,Plus service
280,35,0.9009817049634724,0.09901829503652759,804.3432750218639,0,Zone 3,Unmarried,Did not complete high school,No,Male,No,No,Yes,Basic service
281,51,0.8188531468643973,0.18114685313560275,711.7896367516726,1,Zone 1,Unmarried,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
282,49,0.899052928678089,0.10094707132191105,802.2415870784773,0,Zone 2,Married,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
283,35,0.9507630533602357,0.0492369466397643,864.2050876222601,0,Zone 1,Married,Some college,No,Female,No,No,Yes,Plus service
284,58,0.9362760476265051,0.06372395237349493,846.9288364466413,0,Zone 1,Unmarried,Some college,Yes,Female,No,Yes,No,E-service
285,23,0.910548644059836,0.08945135594016396,814.78632047633,0,Zone 1,Married,High school degree,No,Male,No,No,Yes,Plus service
286,26,0.906994465952801,0.09300553404719902,810.912323347767,0,Zone 2,Married,College degree,No,Female,No,Yes,Yes,Plus service
287,38,0.9036659063242096,0.09633409367579038,807.5491650454153,0,Zone 1,Married,Did not complete high school,No,Female,Yes,No,Yes,Total service
288,35,0.9989709541741476,0.0010290458258523927,928.0960156136726,0,Zone 1,Married,Some college,Yes,Female,No,No,Yes,Plus service
289,37,0.9440211299438592,0.05597887005614077,855.9481773609749,0,Zone 2,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
290,48,0.9470600854714997,0.05293991452850033,860.0745219868899,0,Zone 2,Married,High school degree,No,Male,No,No,No,E-service
291,13,0.8799195277732592,0.12008047222674079,778.1057532193105,0,Zone 3,Married,Some college,No,Male,No,Yes,Yes,Total service
292,72,0.9926667619905709,0.007333238009429088,919.4481950531436,0,Zone 1,Married,Post-undergraduate degree,Yes,Male,No,No,Yes,Plus service
293,30,0.8036258399588933,0.19637416004110675,696.7222051949067,1,Zone 1,Unmarried,College degree,No,Female,No,Yes,No,E-service
294,24,0.8760839209805324,0.12391607901946755,775.4189442418527,0,Zone 1,Unmarried,College degree,No,Female,No,Yes,No,Plus service
295,25,0.9763840674093132,0.02361593259068684,896.2615837321774,0,Zone 2,Married,Some college,No,Male,Yes,No,Yes,Total service
296,50,0.9378459734166484,0.06215402658335156,848.743867576031,0,Zone 2,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
297,28,0.914226030037179,0.08577396996282105,819.5354877826005,0,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,No,Plus service
298,34,0.8487648660319417,0.15123513396805832,745.1961021512333,1,Zone 3,Unmarried,College degree,No,Male,Yes,No,No,Basic service
299,48,0.8054753050682947,0.19452469493170532,697.5430746038328,1,Zone 1,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
300,42,0.9488245724149403,0.05117542758505966,862.0940297292706,0,Zone 2,Married,High school degree,No,Female,No,No,No,E-service
301,67,0.9940919895525937,0.005908010447406298,921.3687265436363,0,Zone 3,Married,Did not complete high school,Yes,Female,No,No,Yes,Plus service
302,17,0.8796697149764602,0.12033028502353982,778.6978867951527,0,Zone 1,Married,High school degree,No,Male,No,Yes,Yes,Plus service
303,29,0.973686824171854,0.026313175828145963,893.0319841914932,0,Zone 1,Married,High school degree,No,Male,No,No,No,E-service
304,66,0.9867084567376685,0.013291543262331507,911.3464230210207,0,Zone 3,Unmarried,Did not complete high school,No,Female,No,No,No,E-service
305,1,0.37521227391781053,0.6247877260821895,328.6806014150706,1,Zone 2,Unmarried,Some college,No,Female,No,Yes,No,Basic service
306,28,0.8605934042943519,0.13940659570564806,758.2879166291775,0,Zone 1,Married,College degree,No,Male,No,Yes,Yes,Total service
307,15,0.8676691078666073,0.13233089213339266,765.0382842733565,0,Zone 1,Married,Some college,No,Male,No,Yes,No,E-service
308,12,0.9412391614077676,0.058760838592232356,849.0461655015805,0,Zone 2,Unmarried,High school degree,Yes,Female,No,Yes,Yes,Plus service
309,48,0.9482732300512042,0.05172676994879577,861.582454745095,0,Zone 3,Unmarried,High school degree,No,Female,Yes,No,Yes,Total service
310,59,0.8606654065623419,0.13933459343765808,757.8554887551066,0,Zone 2,Married,Some college,No,Male,No,No,No,Basic service
311,8,0.6046492964224773,0.39535070357752267,510.18023903003046,1,Zone 3,Married,College degree,No,Male,No,Yes,No,Basic service
312,45,0.9674525072845722,0.032547492715427784,885.7211492403455,0,Zone 1,Unmarried,Post-undergraduate degree,No,Female,No,No,No,E-service
313,25,0.9562508193850154,0.04374918061498456,870.3137587346305,0,Zone 1,Married,College degree,No,Female,No,No,No,E-service
314,21,0.8515241779498847,0.14847582205011534,748.0790516583418,0,Zone 1,Married,Some college,No,Male,Yes,Yes,Yes,Total service
315,17,0.9730294714389489,0.026970528561051088,890.7936162861516,0,Zone 2,Married,Did not complete high school,No,Female,Yes,No,Yes,Total service
316,41,0.829371572320741,0.170628427679259,723.7235695041845,1,Zone 2,Unmarried,Some college,No,Male,No,Yes,Yes,Basic service
317,13,0.8176463555125967,0.18235364448740332,711.2592737807855,1,Zone 1,Married,Some college,No,Female,Yes,Yes,Yes,Plus service
318,1,0.7893799309946938,0.21062006900530617,674.1071084760408,1,Zone 2,Married,High school degree,No,Female,No,No,No,Basic service
319,3,0.763226858812166,0.236773141187834,652.582210009843,1,Zone 3,Married,High school degree,No,Female,Yes,Yes,Yes,Total service
320,23,0.7536297000504507,0.2463702999495493,646.0101434298391,1,Zone 1,Married,Post-undergraduate degree,No,Female,Yes,No,No,Basic service
321,26,0.8726417813540577,0.12735821864594232,771.6610946489507,0,Zone 3,Unmarried,Some college,No,Male,Yes,Yes,Yes,Total service
322,37,0.9754674188675448,0.024532581132455156,895.8129999091279,0,Zone 1,Married,Did not complete high school,No,Male,No,No,No,Plus service
323,5,0.7514001602696789,0.24859983973032107,642.9547129763694,1,Zone 3,Unmarried,College degree,No,Male,No,Yes,No,E-service
324,32,0.8007338014001375,0.1992661985998625,693.5566201752347,1,Zone 1,Married,College degree,No,Female,Yes,Yes,No,Total service
325,12,0.6762901401736355,0.32370985982636447,573.3200856221025,1,Zone 3,Unmarried,College degree,No,Male,No,No,Yes,Basic service
326,72,0.9646315296469469,0.03536847035305313,882.5902083554518,0,Zone 1,Married,Did not complete high school,No,Male,No,No,No,Plus service
327,3,0.5616276626637042,0.43837233733629577,474.6666946499028,1,Zone 3,Married,College degree,No,Female,No,Yes,No,Basic service
328,54,0.9390453970709547,0.06095460292904531,850.2829124817413,0,Zone 1,Unmarried,High school degree,No,Male,No,No,Yes,Plus service
329,26,0.7799537776073169,0.22004622239268312,672.3890022183771,1,Zone 2,Unmarried,High school degree,No,Female,No,Yes,Yes,Total service
330,14,0.7163074301361007,0.28369256986389935,610.5465852264596,1,Zone 3,Unmarried,Post-undergraduate degree,No,Female,No,Yes,No,Basic service
331,22,0.9448710176397374,0.055128982360262646,855.7859539551781,0,Zone 3,Unmarried,Some college,No,Male,No,No,Yes,Basic service
332,65,0.9422141555129189,0.05778584448708113,854.3147616891607,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,Basic service
333,26,0.900475806819763,0.09952419318023698,803.3420680213703,0,Zone 3,Unmarried,Did not complete high school,No,Male,No,No,No,Basic service
334,20,0.7716707044018706,0.22832929559812942,664.3828318466785,1,Zone 1,Unmarried,Some college,No,Female,Yes,Yes,Yes,Total service
335,67,0.9950129482912754,0.004987051708724599,922.6406502237437,0,Zone 2,Married,Did not complete high school,No,Male,No,No,No,E-service
336,34,0.878964345450305,0.121035654549695,778.9924042863348,0,Zone 1,Unmarried,High school degree,No,Male,No,No,No,Basic service
337,37,0.994330544271201,0.0056694557287989555,921.3423211272502,0,Zone 1,Married,High school degree,No,Male,No,No,No,Plus service
338,22,0.7935971281165974,0.20640287188340256,686.673375362771,1,Zone 2,Married,Did not complete high school,No,Male,No,No,No,Basic service
339,5,0.9225042082844381,0.07749579171556187,821.9484985225378,0,Zone 2,Unmarried,High school degree,Yes,Male,No,No,No,Basic service
340,28,0.899875541545182,0.10012445845481799,802.7756389972985,0,Zone 1,Married,College degree,No,Female,No,No,No,Plus service
341,20,0.8826471400094118,0.1173528599905882,782.4519610819298,0,Zone 1,Married,College degree,No,Female,No,No,No,Basic service
342,72,0.9016196074619639,0.0983803925380361,805.125420709709,0,Zone 3,Unmarried,College degree,No,Male,Yes,Yes,No,Total service
343,30,0.8199033117273786,0.18009668827262137,713.9849582636285,1,Zone 2,Unmarried,College degree,No,Male,No,Yes,No,Basic service
344,71,0.9154093356109559,0.08459066438904406,821.6105028344123,0,Zone 3,Unmarried,High school degree,No,Male,Yes,Yes,Yes,Total service
345,56,0.9628834513878438,0.037116548612156186,880.1434922200225,0,Zone 2,Unmarried,High school degree,No,Male,No,No,Yes,Plus service
346,8,0.7879433422651284,0.2120566577348716,679.8706429217466,1,Zone 1,Married,Post-undergraduate degree,No,Male,No,No,No,Basic service
347,32,0.9313554666110504,0.0686445333889496,840.2300384499946,0,Zone 2,Unmarried,High school degree,Yes,Female,No,Yes,No,E-service
348,46,0.9641207861216303,0.035879213878369676,881.4862806590332,0,Zone 2,Unmarried,Some college,No,Female,No,No,Yes,Plus service
349,60,0.9342461825513052,0.0657538174486948,844.457889197216,0,Zone 3,Married,College degree,No,Male,Yes,Yes,Yes,Total service
350,42,0.8242147711957097,0.17578522880429026,718.0736333112839,1,Zone 2,Married,College degree,No,Female,Yes,Yes,Yes,Total service
351,71,0.9931944834217873,0.006805516578212711,920.1629809875421,0,Zone 3,Married,College degree,No,Male,Yes,No,Yes,Total service
352,72,0.9965783387033823,0.003421661296617695,924.8422689395077,0,Zone 2,Married,High school degree,Yes,Female,No,No,Yes,Plus service
353,45,0.9367012281446936,0.06329877185530641,847.2343883785809,0,Zone 3,Unmarried,Some college,Yes,Female,No,No,No,Basic service
354,5,0.7994592603676705,0.20054073963232955,689.7249555077317,1,Zone 3,Unmarried,Did not complete high school,No,Male,Yes,No,Yes,Plus service
355,17,0.9781682826241812,0.021831717375818793,897.6669214224829,0,Zone 2,Married,College degree,No,Female,No,No,No,E-service
356,70,0.9408567137953828,0.059143286204617174,852.6661182878936,0,Zone 2,Unmarried,Some college,No,Male,Yes,No,Yes,Plus service
357,57,0.9655461202645428,0.034453879735457216,883.5616280645947,0,Zone 3,Married,Some college,No,Female,No,Yes,No,E-service
358,20,0.929413594116147,0.07058640588385301,836.7105185892718,0,Zone 1,Unmarried,Some college,No,Female,No,No,Yes,E-service
359,72,0.9803509538200803,0.019649046179919694,902.973107782478,0,Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
360,32,0.9786232619867827,0.021376738013217267,899.7237844387729,0,Zone 3,Unmarried,College degree,No,Male,No,No,Yes,Plus service
361,22,0.9753014100662304,0.02469858993376961,894.5228774532146,0,Zone 3,Married,Did not complete high school,No,Female,No,No,Yes,Plus service
362,6,0.8193677409566652,0.1806322590433348,710.5256237061627,1,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
363,32,0.7819586942864225,0.2180413057135775,673.9657400746605,1,Zone 3,Married,Some college,No,Female,Yes,Yes,Yes,Total service
364,38,0.8343726928941252,0.1656273071058748,729.2986457360432,1,Zone 1,Unmarried,College degree,No,Male,No,Yes,No,E-service
365,53,0.930348134376268,0.06965186562373205,839.6290266065964,0,Zone 1,Unmarried,Some college,No,Female,No,No,Yes,Plus service
366,37,0.9901182084230131,0.009881791576986876,915.4548811892594,0,Zone 3,Unmarried,College degree,No,Female,No,No,No,Basic service
367,47,0.881105153804422,0.118894846195578,781.4218492364978,0,Zone 1,Married,College degree,No,Female,Yes,Yes,No,Total service
368,69,0.9812014933935662,0.018798506606433785,904.0627492324331,0,Zone 3,Unmarried,High school degree,No,Male,Yes,No,Yes,Plus service
369,63,0.9345069954179029,0.06549300458209706,844.7994114393597,0,Zone 3,Unmarried,Some college,No,Female,No,No,No,Basic service
370,61,0.8542912044657677,0.14570879553423233,750.5891458018289,0,Zone 1,Married,Some college,No,Female,Yes,Yes,Yes,Total service
371,56,0.9095453245077135,0.09045467549228647,814.629273861676,0,Zone 1,Married,College degree,No,Male,No,Yes,No,Total service
372,40,0.9842834863261462,0.01571651367385385,907.6124006110736,0,Zone 3,Married,Did not complete high school,No,Male,No,No,No,Plus service
373,61,0.9667517067435768,0.0332482932564232,885.1721749025896,0,Zone 2,Unmarried,High school degree,No,Female,No,No,No,E-service
374,16,0.7140597889699737,0.2859402110300263,608.1676505671584,1,Zone 2,Unmarried,College degree,No,Male,Yes,Yes,Yes,Total service
375,7,0.812853969465181,0.18714603053481904,704.5014382129199,1,Zone 2,Unmarried,Some college,No,Female,No,No,No,Basic service
376,20,0.8579441856542854,0.14205581434571457,755.0237618117462,0,Zone 3,Married,High school degree,No,Female,No,No,No,Basic service
377,35,0.8609789070193397,0.13902109298066034,758.7346897573437,0,Zone 2,Unmarried,High school degree,No,Male,No,Yes,No,E-service
378,60,0.9583885929937656,0.04161140700623445,874.5029127228869,0,Zone 1,Married,Post-undergraduate degree,No,Female,No,No,No,E-service
379,47,0.8486523013814133,0.15134769861858666,744.7199946073559,1,Zone 2,Unmarried,High school degree,No,Male,Yes,No,Yes,Total service
380,33,0.8337665395146651,0.16623346048533494,728.8122707252587,1,Zone 2,Married,High school degree,No,Female,No,No,No,Basic service
381,12,0.7544205866006829,0.2455794133993171,647.4420797936051,1,Zone 3,Unmarried,High school degree,No,Male,No,No,No,Basic service
382,10,0.7463345352066431,0.25366546479335694,639.461478563987,1,Zone 1,Unmarried,College degree,No,Female,No,Yes,No,E-service
383,69,0.9394481567140981,0.06055184328590191,850.9182628328247,0,Zone 2,Married,College degree,No,Female,No,No,Yes,Plus service
384,23,0.8386268783535258,0.16137312164647422,734.175623801174,1,Zone 1,Unmarried,Some college,No,Female,No,No,No,E-service
385,53,0.869219768246804,0.13078023175319597,767.7259062177849,0,Zone 1,Unmarried,Some college,No,Male,No,Yes,No,E-service
386,60,0.9781641526693846,0.021835847330615388,899.9515722540834,0,Zone 2,Married,High school degree,No,Female,No,No,Yes,Plus service
387,33,0.8252186332714775,0.1747813667285225,719.569066655986,1,Zone 2,Unmarried,High school degree,No,Male,No,No,No,Basic service
388,67,0.9228162972025185,0.07718370279748155,830.5617643395843,0,Zone 3,Married,College degree,No,Female,Yes,Yes,Yes,Total service
389,15,0.9379105262690417,0.0620894737309583,845.930745831052,0,Zone 3,Married,Some college,No,Male,No,No,Yes,Plus service
390,64,0.8645449408606887,0.13545505913931133,762.1340382970042,0,Zone 3,Married,High school degree,No,Female,Yes,Yes,Yes,E-service
391,46,0.9317774044117763,0.06822259558822374,841.253053422428,0,Zone 2,Married,High school degree,No,Male,No,No,No,Basic service
392,72,0.9900391600177928,0.009960839982207204,915.8804183917375,0,Zone 2,Married,Did not complete high school,Yes,Male,Yes,No,Yes,Total service
393,61,0.8908005036285368,0.1091994963714632,792.501135420038,0,Zone 1,Married,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
394,54,0.8054216403629633,0.19457835963703674,697.1147341977512,1,Zone 3,Unmarried,High school degree,No,Female,Yes,Yes,No,Total service
395,28,0.8082323203964386,0.19176767960356145,701.6810707890021,1,Zone 3,Unmarried,Some college,No,Female,No,Yes,Yes,Plus service
396,28,0.8097868280867708,0.19021317191322917,703.3218000126424,1,Zone 2,Unmarried,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service
397,32,0.9391331506067953,0.06086684939320475,849.6822334107203,0,Zone 2,Unmarried,Did not complete high school,No,Female,No,No,Yes,Plus service
398,52,0.9620733249580534,0.03792667504194658,879.0315453381173,0,Zone 2,Unmarried,High school degree,No,Female,No,No,No,E-service
399,48,0.981319621604481,0.01868037839551895,903.8801439217917,0,Zone 1,Unmarried,Did not complete high school,Yes,Female,Yes,No,Yes,Plus service
400,52,0.927419029395878,0.07258097060412205,836.0603841513808,0,Zone 3,Married,Some college,No,Female,No,Yes,Yes,Plus service
401,37,0.9386414268542475,0.06135857314575255,849.3411355434056,0,Zone 1,Unmarried,Some college,No,Male,No,No,No,E-service
402,41,0.9600950152070036,0.03990498479299642,876.1995239813297,0,Zone 1,Unmarried,Some college,No,Male,Yes,No,Yes,Plus service
403,43,0.9184854028537168,0.08151459714628317,825.1746148690596,0,Zone 2,Married,High school degree,No,Female,No,No,No,E-service
404,67,0.9671880965792139,0.032811903420786104,885.8131539332861,0,Zone 3,Unmarried,Did not complete high school,No,Female,Yes,No,Yes,Plus service
405,61,0.9688682026924696,0.03113179730753035,887.892073182134,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,Basic service
406,70,0.966123819528204,0.03387618047179597,884.4812973592552,0,Zone 3,Married,High school degree,No,Female,No,No,No,Plus service
407,44,0.8307903679021308,0.1692096320978692,725.1366769771847,1,Zone 3,Married,College degree,No,Female,Yes,Yes,Yes,Total service
408,46,0.9044307131490842,0.09556928685091581,808.5492819067439,0,Zone 3,Unmarried,Some college,No,Male,No,Yes,No,E-service
409,39,0.8194650924601471,0.1805349075398529,713.092609542333,1,Zone 3,Unmarried,Some college,No,Male,No,No,No,Basic service
410,39,0.9270321632466725,0.07296783675332752,835.324297509392,0,Zone 2,Unmarried,College degree,No,Female,Yes,Yes,No,E-service
411,50,0.9147323966123849,0.08526760338761508,820.7863476628487,0,Zone 2,Married,College degree,No,Female,Yes,No,Yes,Total service
412,5,0.7035087603590312,0.2964912396409688,598.2247821388997,1,Zone 3,Unmarried,Some college,No,Female,No,No,No,Basic service
413,10,0.7716238491220263,0.2283761508779737,664.1744968020944,1,Zone 2,Unmarried,Post-undergraduate degree,No,Female,No,Yes,No,E-service
414,72,0.9975705216666769,0.0024294783333230763,926.2335885247405,0,Zone 1,Unmarried,Some college,Yes,Female,No,No,No,E-service
415,68,0.9918703192123683,0.008129680787631655,918.3332392883444,0,Zone 2,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
416,58,0.8212412096944781,0.1787587903055219,714.0297492618884,1,Zone 3,Unmarried,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service
417,18,0.904907360822438,0.09509263917756205,807.5415193612952,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,Basic service
418,65,0.9786232995351257,0.021376700464874276,900.6238832439027,0,Zone 1,Married,Post-undergraduate degree,No,Female,No,No,No,Plus service
419,8,0.8332342983862413,0.1667657016137587,725.9938290909058,1,Zone 3,Unmarried,College degree,No,Male,No,Yes,No,E-service
420,1,0.4679755655637452,0.5320244344362548,400.0916126088488,1,Zone 2,Unmarried,High school degree,No,Female,Yes,No,No,Basic service
421,42,0.9630691101724185,0.036930889827581526,880.0144668602084,0,Zone 3,Unmarried,Did not complete high school,No,Female,No,No,No,E-service
